SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,DaysSinceLast,IS_HOME_GAME,INJURY_SCORE
22018,1610612744,GSW,Golden State Warriors,0021800862,2019-02-13,GSW @ POR,0,240,107,39,97,0.402,13,38,0.342,16,18,0.889,18,31,49,26,1,9,8,26,-22.0,2018-19,1.0,0,42.54
22018,1610612744,GSW,Golden State Warriors,0021800871,2019-02-21,GSW vs. SAC,1,241,125,43,94,0.457,19,46,0.413,20,24,0.833,8,41,49,32,5,11,15,26,2.0,2018-19,8.0,1,6.679999999999998
22018,1610612744,GSW,Golden State Warriors,0021800892,2019-02-23,GSW vs. HOU,0,240,112,42,90,0.467,14,36,0.389,14,20,0.7,9,36,45,26,9,10,17,19,-6.0,2018-19,2.0,1,-101.86000000000001
22018,1610612744,GSW,Golden State Warriors,0021800897,2019-02-25,GSW @ CHA,1,239,121,48,95,0.505,14,41,0.341,11,13,0.846,13,36,49,35,9,8,15,18,11.0,2018-19,2.0,0,8.349999999999994
22018,1610612744,GSW,Golden State Warriors,0021800915,2019-02-27,GSW @ MIA,0,240,125,44,89,0.494,17,48,0.354,20,28,0.714,8,29,37,21,7,3,8,21,-1.0,2018-19,2.0,0,20.44
22018,1610612744,GSW,Golden State Warriors,0021800923,2019-02-28,GSW @ ORL,0,242,96,39,97,0.402,9,40,0.225,9,10,0.9,9,38,47,16,5,3,12,14,-7.0,2018-19,1.0,0,69.56
22018,1610612744,GSW,Golden State Warriors,0021800938,2019-03-02,GSW @ PHI,1,240,120,41,81,0.506,14,33,0.424,24,34,0.706,4,35,39,23,14,7,13,22,3.0,2018-19,2.0,0,-73.7
22018,1610612744,GSW,Golden State Warriors,0021800964,2019-03-05,GSW vs. BOS,0,240,95,34,85,0.4,8,35,0.229,19,23,0.826,9,36,45,26,5,2,21,24,-33.0,2018-19,3.0,1,75.69999999999999
22018,1610612744,GSW,Golden State Warriors,0021800984,2019-03-08,GSW vs. DEN,1,239,122,45,84,0.536,18,35,0.514,14,21,0.667,7,36,43,32,11,10,17,28,17.0,2018-19,3.0,1,-6.140000000000001
22018,1610612744,GSW,Golden State Warriors,0021801000,2019-03-10,GSW vs. PHX,0,240,111,42,95,0.442,10,43,0.233,17,22,0.773,15,34,49,34,10,6,17,24,-4.0,2018-19,2.0,1,-18.08
